iter	Logloss
0	0.6901345334
1	0.6880489285
2	0.6857732999
3	0.6836732767
4	0.6801658889
5	0.6775374332
6	0.6740999383
7	0.6709760892
8	0.6685181957
9	0.665259733
10	0.6622682992
11	0.6593597541
12	0.6565279557
13	0.6531225948
14	0.6497420618
15	0.6471802663
16	0.6448549174
17	0.6424402787
18	0.6396825112
19	0.6370133222
20	0.6344881219
21	0.631854817
22	0.6287408602
23	0.6264569557
24	0.6242671902
25	0.621663627
26	0.6194589906
27	0.6166411578
28	0.6142249673
29	0.6122572301
30	0.6098439491
31	0.6080767098
32	0.6062518621
33	0.6042802455
34	0.6022856114
35	0.5998706494
36	0.5977435354
37	0.5950823638
38	0.5931830972
39	0.5909035893
40	0.5891906609
41	0.587448702
42	0.5853729248
43	0.5836200391
44	0.5812478146
45	0.579130787
46	0.5773731814
47	0.575296305
48	0.5736376229
49	0.5721367012
50	0.5705912315
51	0.5689036482
52	0.5681082515
53	0.5658728389
54	0.5641387034
55	0.5620302103
56	0.5602096299
57	0.5580077737
58	0.5562718278
59	0.5546521979
60	0.5531570952
61	0.5515445774
62	0.5502590891
63	0.5485341347
64	0.5473330223
65	0.5456116886
66	0.5442691092
67	0.5425193916
68	0.5412369098
69	0.539890257
70	0.5379952253
71	0.5370006238
72	0.5350759797
73	0.5339702348
74	0.5330323365
75	0.5317471068
76	0.5301960121
77	0.5289380995
78	0.5275888281
79	0.5267437434
80	0.5254232439
81	0.5240971193
82	0.5229042506
83	0.5218478704
84	0.5201599315
85	0.5186045695
86	0.5170931412
87	0.5161377535
88	0.5151258566
89	0.5150396379
90	0.5136432648
91	0.5124891572
92	0.5111917399
93	0.5103026891
94	0.509803384
95	0.5083115788
96	0.5071481931
97	0.5058716596
98	0.5043504036
99	0.5032631179
100	0.5025563644
101	0.5016543825
102	0.500739922
103	0.4998313128
104	0.4989202144
105	0.4975105221
106	0.4961749901
107	0.4952266822
108	0.4945116528
109	0.4937601898
110	0.4926016209
111	0.49151579
112	0.4904828799
113	0.4897121171
114	0.488666793
115	0.4876609738
116	0.4867948435
117	0.4856819541
118	0.4850513975
119	0.4842601065
120	0.4834500976
121	0.4829875817
122	0.4819809865
123	0.4810096611
124	0.4802276482
125	0.4792326911
126	0.4786880622
127	0.4781580456
128	0.4773705369
129	0.476050587
130	0.4749219539
131	0.4741398116
132	0.4733670122
133	0.4724748256
134	0.4713502658
135	0.4707807121
136	0.4698324688
137	0.4689375344
138	0.4682147786
139	0.4671612756
140	0.4662844771
141	0.4655250291
142	0.4646503642
143	0.463514619
144	0.4628623704
145	0.462246717
146	0.4616304818
147	0.4606537576
148	0.4598416797
149	0.4587068396
150	0.4575190787
151	0.4567374537
152	0.4560408835
153	0.4551239014
154	0.4539932962
155	0.4531728454
156	0.452289355
157	0.4513513597
158	0.4506716001
159	0.4496997575
160	0.449012821
161	0.4484893023
162	0.4477264598
163	0.447331574
164	0.4468167838
165	0.446336326
166	0.4458384756
167	0.445162272
168	0.4445540541
169	0.443861234
170	0.4431829614
171	0.442545616
172	0.4415683746
173	0.4407923424
174	0.4401776589
175	0.439625045
176	0.4389742189
177	0.4383770571
178	0.437370268
179	0.4366171885
180	0.4361739078
181	0.4357051526
182	0.4348150027
183	0.4339739913
184	0.4334917877
185	0.4326356791
186	0.4317331476
187	0.4312771619
188	0.4307423931
189	0.4298738383
190	0.4294748468
191	0.4291226662
192	0.4285508495
193	0.4278613592
194	0.4273515152
195	0.4267630173
196	0.4261075683
197	0.425527217
198	0.4248812401
199	0.4239695921
